PID,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,NL_NAME_2,VARNAME_2,TYPE_2,ENGTYPE_2
41403,247,VNM,Vietnam,1,Đồng Bằng Sông Cửu Long,1,Đồng Tháp,,Dong Thap,Tỉnh,Province
41404,247,VNM,Vietnam,1,Đồng Bằng Sông Cửu Long,2,An Giang,,An Giang,Tỉnh,Province
41405,247,VNM,Vietnam,1,Đồng Bằng Sông Cửu Long,3,Bạc Liêu,,Bac Lieu,Tỉnh,Province
41406,247,VNM,Vietnam,1,Đồng Bằng Sông Cửu Long,4,Bến Tre,,Ben Tre,Tỉnh,Province
41407,247,VNM,Vietnam,1,Đồng Bằng Sông Cửu Long,5,Cần Thơ,,Can Tho,Thành phố trực thuộc tỉnh,City|Municipality
41408,247,VNM,Vietnam,1,Đồng Bằng Sông Cửu Long,6,Cà Mau,,Ca Mau,Tỉnh,Province
41409,247,VNM,Vietnam,1,Đồng Bằng Sông Cửu Long,7,Hậu Giang,,Hau Giang,Tỉnh,Province
41410,247,VNM,Vietnam,1,Đồng Bằng Sông Cửu Long,8,Kiên Giang,,Kien Giang,Tỉnh,Province
41411,247,VNM,Vietnam,1,Đồng Bằng Sông Cửu Long,9,Long An,,Long An,Tỉnh,Province
41412,247,VNM,Vietnam,1,Đồng Bằng Sông Cửu Long,10,Sóc Trăng,,Soc Trang,Tỉnh,Province
41413,247,VNM,Vietnam,1,Đồng Bằng Sông Cửu Long,11,Tiền Giang,,Tien Giang,Tỉnh,Province
41414,247,VNM,Vietnam,1,Đồng Bằng Sông Cửu Long,12,Trà Vinh,,Tra Vinh,Tỉnh,Province
41415,247,VNM,Vietnam,1,Đồng Bằng Sông Cửu Long,13,Vĩnh Long,,Vinh Long,Tỉnh,Province
41416,247,VNM,Vietnam,2,Đồng Bằng Sông Hồng,14,Bắc Ninh,,Bac Ninh,Tỉnh,Province
41417,247,VNM,Vietnam,2,Đồng Bằng Sông Hồng,15,Hải Dương,,Hai Duong,Tỉnh,Province
41418,247,VNM,Vietnam,2,Đồng Bằng Sông Hồng,16,Hải Phòng,,Hai Phong City|Haiphong,Thành phố trực thuộc tỉnh,City|Municipality
41419,247,VNM,Vietnam,2,Đồng Bằng Sông Hồng,17,Hưng Yên,,Hung Yen,Tỉnh,Province
41420,247,VNM,Vietnam,2,Đồng Bằng Sông Hồng,18,Hà Nội,,Ha Noi City|Hanoi,Thành phố trực thuộc tỉnh,City|Municipality
41421,247,VNM,Vietnam,2,Đồng Bằng Sông Hồng,19,Hà Nam,,Ha Nam,Tỉnh,Province
41422,247,VNM,Vietnam,2,Đồng Bằng Sông Hồng,20,Hà Tây,,Ha Tay,Tỉnh,Province
41423,247,VNM,Vietnam,2,Đồng Bằng Sông Hồng,21,Nam Định,,Nam Dinh,Tỉnh,Province
41424,247,VNM,Vietnam,2,Đồng Bằng Sông Hồng,22,Ninh Bình,,Ninh Binh,Tỉnh,Province
41425,247,VNM,Vietnam,2,Đồng Bằng Sông Hồng,23,Thái Bình,,Thai Binh,Tỉnh,Province
41426,247,VNM,Vietnam,2,Đồng Bằng Sông Hồng,24,Vĩnh Phúc,,Vinh Phuc,Tỉnh,Province
41427,247,VNM,Vietnam,3,Đông Bắc,25,Bắc Giang,,Bac Giang,Tỉnh,Province
41428,247,VNM,Vietnam,3,Đông Bắc,26,Bắc Kạn,,Bac Kan|Bac Can,Tỉnh,Province
41429,247,VNM,Vietnam,3,Đông Bắc,27,Cao Bằng,,Cao Bang,Tỉnh,Province
41430,247,VNM,Vietnam,3,Đông Bắc,28,Hà Giang,,Ha Giang,Tỉnh,Province
41431,247,VNM,Vietnam,3,Đông Bắc,29,Lạng Sơn,,Lang Son,Tỉnh,Province
41432,247,VNM,Vietnam,3,Đông Bắc,30,Lào Cai,,Lao Cai,Tỉnh,Province
41433,247,VNM,Vietnam,3,Đông Bắc,31,Phú Thọ,,Phu Tho,Tỉnh,Province
41434,247,VNM,Vietnam,3,Đông Bắc,32,Quảng Ninh,,Quang Ninh,Tỉnh,Province
41435,247,VNM,Vietnam,3,Đông Bắc,33,Thái Nguyên,,Thai Nguyen,Tỉnh,Province
41436,247,VNM,Vietnam,3,Đông Bắc,34,Tuyên Quang,,Tuyen Quang,Tỉnh,Province
41437,247,VNM,Vietnam,3,Đông Bắc,35,Yên Bái,,Yen Bai,Tỉnh,Province
41438,247,VNM,Vietnam,4,Đông Nam Bộ,36,Đồng Nai,,Dong Nai,Tỉnh,Province
41439,247,VNM,Vietnam,4,Đông Nam Bộ,37,Bà Rịa - Vũng Tàu,,Ba Ria - VTau|Ba Ria-Vung Tau,Tỉnh,Province
41440,247,VNM,Vietnam,4,Đông Nam Bộ,38,Bình Dương,,Binh Duong,Tỉnh,Province
41441,247,VNM,Vietnam,4,Đông Nam Bộ,39,Bình Phước,,Binh Phuoc,Tỉnh,Province
41442,247,VNM,Vietnam,4,Đông Nam Bộ,40,Bình Thuận,,Binh Thuan,Tỉnh,Province
41443,247,VNM,Vietnam,4,Đông Nam Bộ,41,Thành phố Hồ Chí Minh,,Ho Chi Minh City|Ho Chi Minh,Thành phố trực thuộc tỉnh,City|Municipality
41444,247,VNM,Vietnam,4,Đông Nam Bộ,42,Ninh Thuận,,Ninh Thuan,Tỉnh,Province
41445,247,VNM,Vietnam,4,Đông Nam Bộ,43,Tây Ninh,,Tay Ninh,Tỉnh,Province
41446,247,VNM,Vietnam,5,Bắc Trung Bộ,44,Hà Tĩnh,,Ha Tinh,Tỉnh,Province
41447,247,VNM,Vietnam,5,Bắc Trung Bộ,45,Nghệ An,,Nghe An,Tỉnh,Province
41448,247,VNM,Vietnam,5,Bắc Trung Bộ,46,Quảng Bình,,Quang Binh,Tỉnh,Province
41449,247,VNM,Vietnam,5,Bắc Trung Bộ,47,Quảng Trị,,Quang Tri,Tỉnh,Province
41450,247,VNM,Vietnam,5,Bắc Trung Bộ,48,Thừa Thiên - Huế,,Thua Thien - Hue,Tỉnh,Province
41451,247,VNM,Vietnam,5,Bắc Trung Bộ,49,Thanh Hoá,,Thanh Hoa,Tỉnh,Province
41452,247,VNM,Vietnam,6,Nam Trung Bộ,50,Đà Nẵng,,Da Nang City|Da Nang,Thành phố trực thuộc tỉnh,City|Municipality
41453,247,VNM,Vietnam,6,Nam Trung Bộ,51,Bình Định,,Binh Dinh,Tỉnh,Province
41454,247,VNM,Vietnam,6,Nam Trung Bộ,52,Khánh Hoà,,Khanh Hoa,Tỉnh,Province
41455,247,VNM,Vietnam,6,Nam Trung Bộ,53,Phú Yên,,Phu Yen,Tỉnh,Province
41456,247,VNM,Vietnam,6,Nam Trung Bộ,54,Quảng Nam,,Quang Nam,Tỉnh,Province
41457,247,VNM,Vietnam,6,Nam Trung Bộ,55,Quảng Ngãi,,Quang Ngai,Tỉnh,Province
41458,247,VNM,Vietnam,7,Tây Bắc,56,Điện Biên,,Dien Bien,Tỉnh,Province
41459,247,VNM,Vietnam,7,Tây Bắc,57,Hoà Bình,,Hoa Binh,Tỉnh,Province
41460,247,VNM,Vietnam,7,Tây Bắc,58,Lai Châu,,Lai Chau,Tỉnh,Province
41461,247,VNM,Vietnam,7,Tây Bắc,59,Sơn La,,Son La,Tỉnh,Province
41462,247,VNM,Vietnam,8,Tây Nguyên,60,Đắk Lắk,,Dak Lak|Dac Lac,Tỉnh,Province
41463,247,VNM,Vietnam,8,Tây Nguyên,61,Đắk Nông,,Dac Nong,Tỉnh,Province
41464,247,VNM,Vietnam,8,Tây Nguyên,62,Gia Lai,,Gia Lai,Tỉnh,Province
41465,247,VNM,Vietnam,8,Tây Nguyên,63,Kon Tum,,Kon Tum,Tỉnh,Province
41466,247,VNM,Vietnam,8,Tây Nguyên,64,Lâm Đồng,,Lam Dong,Tỉnh,Province
