"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","TYPE_4","ENGTYPE_4"
38575,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",1,"Cao Lanh",1,"1","","Ward","Ward"
38576,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",1,"Cao Lanh",2,"11","","Ward","Ward"
38577,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",1,"Cao Lanh",3,"2","","Ward","Ward"
38578,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",1,"Cao Lanh",4,"3","","Ward","Ward"
38579,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",1,"Cao Lanh",5,"4","","Ward","Ward"
38580,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",1,"Cao Lanh",6,"6","","Ward","Ward"
38581,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",1,"Cao Lanh",13,"Hoà An","","Commune","Commune"
38582,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",1,"Cao Lanh",14,"Hoà Thu<U+1EAD>n","","Ward","Ward"
38583,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",1,"Cao Lanh",18,"M<U+1EF9> Ngãi","","Commune","Commune"
38584,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",1,"Cao Lanh",19,"M<U+1EF9> Phú","","Ward","Ward"
38585,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",1,"Cao Lanh",20,"M<U+1EF9> Tân","","Commune","Commune"
38586,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",1,"Cao Lanh",22,"M<U+1EF9> Trà","","Commune","Commune"
38587,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",1,"Cao Lanh",28,"T<U+1ECB>nh Th<U+1EDB>i","","Commune","Commune"
38588,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",1,"Cao Lanh",31,"Tân Thu<U+1EAD>n Ðông","","Commune","Commune"
38589,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",1,"Cao Lanh",32,"Tân Thu<U+1EAD>n Tây","","Commune","Commune"
38590,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",2,"Cao Lãnh",7,"An Bình","","Commune","Commune"
38591,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",2,"Cao Lãnh",8,"Ba Sao","","Commune","Commune"
38592,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",2,"Cao Lãnh",9,"Bình Hàng Tây","","Commune","Commune"
38593,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",2,"Cao Lãnh",10,"Bình Hàng Trung","","Commune","Commune"
38594,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",2,"Cao Lãnh",11,"Bình Th<U+1EA1>nh","","Commune","Commune"
38595,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",2,"Cao Lãnh",12,"Gáo Gi<U+1ED3>ng","","Commune","Commune"
38596,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",2,"Cao Lãnh",15,"M<U+1EF9> H<U+1ED9>i","","Commune","Commune"
38597,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",2,"Cao Lãnh",16,"M<U+1EF9> Hi<U+1EC7>p","","Commune","Commune"
